Item ID,Item Name,Category,Quantity,Price per Unit,Total Value,Warehouse,Reorder Level
CL-0118,Jacket,Clothing,150,202.2,30330.0,Warehouse-2,54
TO-0119,Blocks,Toys,25,358.52,8963.0,Warehouse-4,99
CL-0120,Shoes,Clothing,291,292.58,85140.78,Warehouse-1,46
FO-0121,Apple,Food,221,352.81,77971.01,Warehouse-1,58
TO-0122,Blocks,Toys,279,31.48,8782.92,Warehouse-4,91
CL-0123,Shirt,Clothing,75,129.54,9715.5,Warehouse-3,35
BO-0124,Notebook,Books,305,575.58,175551.9,Warehouse-5,40
FU-0125,Chair,Furniture,52,144.67,7522.84,Warehouse-5,61
CL-0126,Shirt,Clothing,306,149.29,45682.74,Warehouse-4,80
TO-0127,Car,Toys,373,4.66,1738.18,Warehouse-1,70
CL-0128,Shirt,Clothing,170,230.7,39219.0,Warehouse-1,54
FU-0129,Table,Furniture,431,301.28,129851.68,Warehouse-3,85
FU-0130,Shelf,Furniture,374,917.64,343197.36,Warehouse-1,22
TO-0131,Hammer,Tools,20,85.65,1713.0,Warehouse-4,63
FU-0132,Desk,Furniture,422,691.96,292007.12,Warehouse-3,77
BO-0133,Textbook,Books,121,778.49,94197.29,Warehouse-3,77
CL-0134,Jacket,Clothing,295,560.44,165329.8,Warehouse-5,62
BO-0135,Magazine,Books,297,306.47,91021.59,Warehouse-2,68
TO-0136,Puzzle,Toys,489,218.03,106616.67,Warehouse-2,82
TO-0137,Car,Toys,331,935.69,309713.39,Warehouse-2,70
TO-0138,Wrench,Tools,6,534.69,3208.14,Warehouse-5,24
TO-0139,Car,Toys,183,44.34,8114.22,Warehouse-2,52
BO-0140,Magazine,Books,175,105.27,18422.25,Warehouse-3,87
FU-0141,Shelf,Furniture,478,913.63,436715.14,Warehouse-3,97
CL-0142,Shoes,Clothing,317,838.97,265953.49,Warehouse-3,96
BO-0143,Magazine,Books,337,301.33,101548.21,Warehouse-3,44
EL-0144,Phone,Electronics,469,176.0,82544.0,Warehouse-4,58
FU-0145,Desk,Furniture,81,490.13,39700.53,Warehouse-4,75
FU-0146,Shelf,Furniture,105,22.05,2315.25,Warehouse-5,39
TO-0147,Drill,Tools,174,188.88,32865.12,Warehouse-4,72
FU-0148,Table,Furniture,101,57.77,5834.77,Warehouse-2,77
CL-0149,Jacket,Clothing,240,578.89,138933.6,Warehouse-4,45
FO-0150,Cheese,Food,55,261.92,14405.6,Warehouse-4,80
FU-0151,Table,Furniture,292,429.17,125317.64,Warehouse-3,59
EL-0152,Tablet,Electronics,135,728.34,98325.9,Warehouse-3,81
TO-0153,Saw,Tools,148,694.29,102754.92,Warehouse-2,87
TO-0154,Screwdriver,Tools,329,915.18,301094.22,Warehouse-5,37
EL-0155,Camera,Electronics,438,59.03,25855.14,Warehouse-5,90
FU-0156,Couch,Furniture,368,634.11,233352.48,Warehouse-2,52
TO-0157,Wrench,Tools,211,515.89,108852.79,Warehouse-3,36
FU-0158,Table,Furniture,224,657.56,147293.44,Warehouse-4,27
EL-0159,Tablet,Electronics,80,411.12,32889.6,Warehouse-1,45
TO-0160,Hammer,Tools,361,188.17,67929.37,Warehouse-1,50
TO-0161,Ball,Toys,78,889.75,69400.5,Warehouse-5,85
BO-0162,Notebook,Books,222,565.58,125558.76,Warehouse-5,74
EL-0163,Laptop,Electronics,60,236.69,14201.4,Warehouse-4,59
CL-0164,Pants,Clothing,32,42.48,1359.36,Warehouse-5,77
FO-0165,Apple,Food,157,470.14,73811.98,Warehouse-5,87
EL-0166,Monitor,Electronics,304,42.76,12999.04,Warehouse-5,20
BO-0167,Manual,Books,368,248.62,91492.16,Warehouse-2,78
FU-0168,Couch,Furniture,382,580.71,221831.22,Warehouse-2,75
TO-0169,Car,Toys,200,104.95,20990.0,Warehouse-1,22
EL-0170,Monitor,Electronics,10,612.64,6126.4,Warehouse-4,84
BO-0171,Notebook,Books,386,704.43,271909.98,Warehouse-4,23
TO-0172,Wrench,Tools,171,153.74,26289.54,Warehouse-2,45
BO-0173,Novel,Books,278,336.19,93460.82,Warehouse-2,97
BO-0174,Notebook,Books,63,489.9,30863.7,Warehouse-1,77
FU-0175,Chair,Furniture,392,258.28,101245.76,Warehouse-1,93
FO-0176,Milk,Food,176,344.46,60624.96,Warehouse-3,91
EL-0177,Monitor,Electronics,368,474.97,174788.96,Warehouse-5,95
FU-0178,Desk,Furniture,206,535.71,110356.26,Warehouse-5,95
BO-0179,Novel,Books,66,578.97,38212.02,Warehouse-4,91
BO-0180,Notebook,Books,332,429.18,142487.76,Warehouse-5,34
TO-0181,Ball,Toys,238,997.99,237521.62,Warehouse-1,43
TO-0182,Screwdriver,Tools,274,993.37,272183.38,Warehouse-1,35
TO-0183,Hammer,Tools,143,708.26,101281.18,Warehouse-3,49
EL-0184,Tablet,Electronics,102,150.88,15389.76,Warehouse-5,71
BO-0185,Magazine,Books,362,274.83,99488.46,Warehouse-2,61
CL-0186,Shoes,Clothing,178,291.47,51881.66,Warehouse-5,39
TO-0187,Drill,Tools,10,187.83,1878.3,Warehouse-5,58
TO-0188,Blocks,Toys,76,849.34,64549.84,Warehouse-5,86
FO-0189,Apple,Food,289,386.11,111585.79,Warehouse-2,20
TO-0190,Hammer,Tools,151,860.58,129947.58,Warehouse-4,71
CL-0191,Hat,Clothing,275,286.83,78878.25,Warehouse-2,75
FU-0192,Desk,Furniture,89,12.72,1132.08,Warehouse-1,85
FU-0193,Table,Furniture,371,8.55,3172.05,Warehouse-4,63
EL-0194,Monitor,Electronics,207,14.5,3001.5,Warehouse-3,47
TO-0195,Hammer,Tools,63,879.06,55380.78,Warehouse-4,96
FU-0196,Chair,Furniture,481,251.46,120952.26,Warehouse-3,74
FU-0197,Couch,Furniture,208,620.98,129163.84,Warehouse-5,39
CL-0198,Jacket,Clothing,223,578.68,129045.64,Warehouse-1,37
CL-0199,Shirt,Clothing,358,467.45,167347.1,Warehouse-2,28
TO-0200,Drill,Tools,388,458.04,177719.52,Warehouse-5,20
TO-0201,Car,Toys,70,414.45,29011.5,Warehouse-4,83
EL-0202,Laptop,Electronics,332,229.89,76323.48,Warehouse-2,67
TO-0203,Hammer,Tools,214,980.52,209831.28,Warehouse-4,56
BO-0204,Novel,Books,369,234.04,86360.76,Warehouse-3,33
CL-0205,Shirt,Clothing,292,746.23,217899.16,Warehouse-4,83
EL-0206,Laptop,Electronics,154,142.65,21968.1,Warehouse-3,20
TO-0207,Drill,Tools,79,560.0,44240.0,Warehouse-2,45
TO-0208,Puzzle,Toys,32,267.77,8568.64,Warehouse-3,95
FU-0209,Table,Furniture,284,781.17,221852.28,Warehouse-3,57
TO-0210,Puzzle,Toys,335,925.25,309958.75,Warehouse-2,69
BO-0211,Notebook,Books,429,58.14,24942.06,Warehouse-5,34
CL-0212,Jacket,Clothing,434,470.69,204279.46,Warehouse-4,77
FU-0213,Shelf,Furniture,76,863.91,65657.16,Warehouse-2,29
FU-0214,Table,Furniture,215,207.83,44683.45,Warehouse-4,55
CL-0215,Hat,Clothing,471,949.57,447247.47,Warehouse-3,72
BO-0216,Textbook,Books,390,478.42,186583.8,Warehouse-2,65
BO-0217,Manual,Books,191,991.24,189326.84,Warehouse-1,87
FO-0218,Bread,Food,265,247.91,65696.15,Warehouse-3,88
BO-0219,Novel,Books,281,768.6,215976.6,Warehouse-5,92
TO-0220,Saw,Tools,327,97.11,31754.97,Warehouse-5,65
FO-0221,Cheese,Food,80,686.99,54959.2,Warehouse-2,66
EL-0222,Tablet,Electronics,76,358.68,27259.68,Warehouse-3,72
FU-0223,Table,Furniture,68,257.11,17483.48,Warehouse-2,93
EL-0224,Camera,Electronics,452,691.42,312521.84,Warehouse-3,38
FO-0225,Milk,Food,108,586.73,63366.84,Warehouse-5,84
FU-0226,Table,Furniture,94,634.81,59672.14,Warehouse-1,72
FU-0227,Couch,Furniture,426,93.16,39686.16,Warehouse-2,31
FO-0228,Apple,Food,360,41.11,14799.6,Warehouse-4,65
FO-0229,Cheese,Food,313,476.22,149056.86,Warehouse-2,96
CL-0230,Hat,Clothing,44,161.14,7090.16,Warehouse-5,22
TO-0231,Blocks,Toys,472,990.28,467412.16,Warehouse-1,60
TO-0232,Wrench,Tools,346,183.26,63407.96,Warehouse-1,61
CL-0233,Shoes,Clothing,255,853.14,217550.7,Warehouse-3,44
TO-0234,Puzzle,Toys,336,696.23,233933.28,Warehouse-3,88
FU-0235,Desk,Furniture,389,81.84,31835.76,Warehouse-1,95
TO-0236,Car,Toys,215,164.99,35472.85,Warehouse-1,32
FO-0237,Milk,Food,447,493.68,220674.96,Warehouse-3,78
CL-0238,Shirt,Clothing,100,982.48,98248.0,Warehouse-5,29
FU-0239,Table,Furniture,367,129.8,47636.6,Warehouse-1,22
FO-0240,Bread,Food,269,537.58,144609.02,Warehouse-4,52
CL-0241,Hat,Clothing,107,884.73,94666.11,Warehouse-4,89
TO-0242,Car,Toys,60,524.06,31443.6,Warehouse-5,51
FO-0243,Milk,Food,462,301.17,139140.54,Warehouse-1,99
FU-0244,Chair,Furniture,414,969.21,401252.94,Warehouse-3,77
CL-0245,Jacket,Clothing,490,132.9,65121.0,Warehouse-2,28
EL-0246,Tablet,Electronics,295,756.24,223090.8,Warehouse-2,78
TO-0247,Blocks,Toys,90,407.93,36713.7,Warehouse-5,24
FO-0248,Milk,Food,194,284.61,55214.34,Warehouse-3,36
FO-0249,Cheese,Food,34,820.33,27891.22,Warehouse-2,33
TO-0250,Hammer,Tools,84,451.98,37966.32,Warehouse-5,33
FU-0251,Desk,Furniture,317,464.8,147341.6,Warehouse-5,77
EL-0252,Tablet,Electronics,453,591.85,268108.05,Warehouse-1,99
CL-0253,Jacket,Clothing,205,107.6,22058.0,Warehouse-1,50
TO-0254,Puzzle,Toys,264,518.04,136762.56,Warehouse-5,89
FU-0255,Table,Furniture,302,928.87,280518.74,Warehouse-5,86
CL-0256,Hat,Clothing,51,970.99,49520.49,Warehouse-5,94
FU-0257,Couch,Furniture,496,588.01,291652.96,Warehouse-5,26
CL-0258,Jacket,Clothing,371,687.9,255210.9,Warehouse-1,24
EL-0259,Laptop,Electronics,454,83.6,37954.4,Warehouse-4,49
EL-0260,Tablet,Electronics,194,673.18,130596.92,Warehouse-1,53
TO-0261,Car,Toys,476,664.15,316135.4,Warehouse-5,51
CL-0262,Pants,Clothing,227,382.9,86918.3,Warehouse-5,97
BO-0263,Magazine,Books,494,452.26,223416.44,Warehouse-3,86
EL-0264,Laptop,Electronics,112,838.86,93952.32,Warehouse-5,65
BO-0265,Novel,Books,186,611.4,113720.4,Warehouse-3,29
CL-0266,Shirt,Clothing,295,895.17,264075.15,Warehouse-1,76
FO-0267,Cheese,Food,2,189.57,379.14,Warehouse-1,90
FU-0268,Table,Furniture,169,900.0,152100.0,Warehouse-5,77
TO-0269,Wrench,Tools,251,598.5,150223.5,Warehouse-1,86
FO-0270,Bread,Food,83,6.65,551.95,Warehouse-4,66
TO-0271,Blocks,Toys,360,492.27,177217.2,Warehouse-1,38
BO-0272,Manual,Books,345,715.0,246675.0,Warehouse-2,24
CL-0273,Shoes,Clothing,6,338.13,2028.78,Warehouse-1,85
FO-0274,Apple,Food,260,561.24,145922.4,Warehouse-4,58
TO-0275,Wrench,Tools,494,276.18,136432.92,Warehouse-4,81
EL-0276,Tablet,Electronics,173,326.03,56403.19,Warehouse-3,39
TO-0277,Hammer,Tools,55,250.08,13754.4,Warehouse-2,76
BO-0278,Textbook,Books,468,202.48,94760.64,Warehouse-2,80
FU-0279,Chair,Furniture,46,871.33,40081.18,Warehouse-5,65
TO-0280,Hammer,Tools,356,951.8,338840.8,Warehouse-2,66
FO-0281,Bread,Food,297,440.48,130822.56,Warehouse-5,90
CL-0282,Hat,Clothing,72,756.72,54483.84,Warehouse-3,26
TO-0283,Ball,Toys,140,866.43,121300.2,Warehouse-5,98
FU-0284,Table,Furniture,111,431.99,47950.89,Warehouse-5,36
FO-0285,Bread,Food,79,821.07,64864.53,Warehouse-3,76
CL-0286,Jacket,Clothing,266,252.15,67071.9,Warehouse-4,21
FU-0287,Desk,Furniture,377,395.89,149250.53,Warehouse-5,67
EL-0288,Phone,Electronics,124,97.85,12133.4,Warehouse-1,27
TO-0289,Screwdriver,Tools,300,536.52,160956.0,Warehouse-2,75
CL-0290,Jacket,Clothing,74,419.48,31041.52,Warehouse-2,20
FU-0291,Desk,Furniture,140,949.72,132960.8,Warehouse-5,53
BO-0292,Magazine,Books,274,654.73,179396.02,Warehouse-5,81
CL-0293,Shoes,Clothing,232,133.62,30999.84,Warehouse-3,83
CL-0294,Jacket,Clothing,342,465.9,159337.8,Warehouse-2,37
FU-0295,Couch,Furniture,391,357.07,139614.37,Warehouse-2,70
FU-0296,Desk,Furniture,256,512.45,131187.2,Warehouse-3,97
EL-0297,Camera,Electronics,28,916.24,25654.72,Warehouse-5,98
EL-0298,Laptop,Electronics,37,491.13,18171.81,Warehouse-5,62
BO-0299,Notebook,Books,459,295.38,135579.42,Warehouse-5,52
TO-0300,Wrench,Tools,414,402.97,166829.58,Warehouse-4,36
FO-0301,Chicken,Food,353,773.93,273197.29,Warehouse-3,72
CL-0302,Shoes,Clothing,63,314.18,19793.34,Warehouse-2,35
TO-0303,Ball,Toys,449,650.72,292173.28,Warehouse-3,60
TO-0304,Puzzle,Toys,373,361.66,134899.18,Warehouse-1,29
FU-0305,Shelf,Furniture,36,702.37,25285.32,Warehouse-5,53
TO-0306,Ball,Toys,330,278.06,91759.8,Warehouse-4,98
TO-0307,Saw,Tools,82,904.91,74202.62,Warehouse-5,56
TO-0308,Wrench,Tools,445,937.53,417200.85,Warehouse-1,59
TO-0309,Drill,Tools,441,995.34,438944.94,Warehouse-4,57
BO-0310,Manual,Books,361,986.63,356173.43,Warehouse-5,40
TO-0311,Ball,Toys,208,166.99,34733.92,Warehouse-3,47
FU-0312,Shelf,Furniture,373,933.61,348236.53,Warehouse-3,57
FO-0313,Cheese,Food,284,704.08,199958.72,Warehouse-1,82
TO-0314,Wrench,Tools,46,524.75,24138.5,Warehouse-3,36
TO-0315,Puzzle,Toys,170,446.27,75865.9,Warehouse-4,56
TO-0316,Wrench,Tools,298,193.2,57573.6,Warehouse-1,80
FU-0317,Desk,Furniture,356,990.52,352625.12,Warehouse-1,62
TO-0318,Car,Toys,186,950.23,176742.78,Warehouse-3,40
FO-0319,Bread,Food,153,675.82,103400.46,Warehouse-3,99
BO-0320,Manual,Books,459,820.78,376738.02,Warehouse-4,52
FO-0321,Cheese,Food,428,626.03,267940.84,Warehouse-5,88
TO-0322,Saw,Tools,112,389.69,43645.28,Warehouse-1,56
TO-0323,Blocks,Toys,448,685.87,307269.76,Warehouse-3,87
EL-0324,Phone,Electronics,235,387.94,91165.9,Warehouse-3,84
TO-0325,Doll,Toys,206,954.62,196651.72,Warehouse-3,70
TO-0326,Hammer,Tools,399,493.23,196798.77,Warehouse-3,30
TO-0327,Doll,Toys,137,896.24,122784.88,Warehouse-5,91
EL-0328,Tablet,Electronics,131,654.54,85744.74,Warehouse-5,29
CL-0329,Hat,Clothing,308,541.0,166628.0,Warehouse-3,94
TO-0330,Screwdriver,Tools,106,921.68,97698.08,Warehouse-2,42
FU-0331,Chair,Furniture,210,483.28,101488.8,Warehouse-4,38
TO-0332,Puzzle,Toys,264,996.31,263025.84,Warehouse-5,74
CL-0333,Hat,Clothing,4,607.14,2428.56,Warehouse-2,60
FU-0334,Desk,Furniture,430,927.31,398743.3,Warehouse-1,94
FU-0335,Chair,Furniture,274,631.06,172910.44,Warehouse-1,91
EL-0336,Tablet,Electronics,53,22.63,1199.39,Warehouse-3,38
FU-0337,Shelf,Furniture,137,801.09,109749.33,Warehouse-4,25
CL-0338,Jacket,Clothing,266,620.71,165108.86,Warehouse-3,99
TO-0339,Puzzle,Toys,56,579.87,32472.72,Warehouse-3,34
TO-0340,Car,Toys,279,811.72,226469.88,Warehouse-2,73
FO-0341,Cheese,Food,147,319.79,47009.13,Warehouse-4,79
FU-0342,Desk,Furniture,277,163.04,45162.08,Warehouse-4,96
BO-0343,Manual,Books,49,511.09,25043.41,Warehouse-3,82
TO-0344,Car,Toys,116,839.83,97420.28,Warehouse-2,87
TO-0345,Doll,Toys,321,159.86,51315.06,Warehouse-2,39
FU-0346,Desk,Furniture,58,970.65,56297.7,Warehouse-4,87
FO-0347,Apple,Food,346,233.92,80936.32,Warehouse-3,73
TO-0348,Doll,Toys,226,702.04,158661.04,Warehouse-4,59
BO-0349,Manual,Books,180,461.67,83100.6,Warehouse-3,77
TO-0350,Car,Toys,115,973.66,111970.9,Warehouse-3,33
FO-0351,Cheese,Food,259,822.44,213011.96,Warehouse-2,82
FO-0352,Chicken,Food,213,645.61,137514.93,Warehouse-3,64
FU-0353,Table,Furniture,73,867.22,63307.06,Warehouse-3,92
TO-0354,Saw,Tools,40,740.06,29602.4,Warehouse-1,29
EL-0355,Camera,Electronics,348,557.65,194062.2,Warehouse-4,50
FU-0356,Couch,Furniture,74,549.16,40637.84,Warehouse-5,93
TO-0357,Hammer,Tools,261,516.95,134923.95,Warehouse-1,31
FU-0358,Couch,Furniture,193,365.63,70566.59,Warehouse-1,27
FO-0359,Milk,Food,209,243.26,50841.34,Warehouse-2,59
TO-0360,Hammer,Tools,158,706.94,111696.52,Warehouse-3,28
CL-0361,Pants,Clothing,113,530.21,59913.73,Warehouse-5,53
EL-0362,Camera,Electronics,64,730.84,46773.76,Warehouse-1,35
CL-0363,Jacket,Clothing,53,697.83,36984.99,Warehouse-4,39
BO-0364,Manual,Books,240,953.71,228890.4,Warehouse-3,45
FU-0365,Table,Furniture,93,473.48,44033.64,Warehouse-4,69
TO-0366,Hammer,Tools,404,392.53,158582.12,Warehouse-4,55
EL-0367,Phone,Electronics,116,724.48,84039.68,Warehouse-2,26
EL-0368,Phone,Electronics,334,219.48,73306.32,Warehouse-2,91
BO-0369,Magazine,Books,290,155.57,45115.3,Warehouse-3,65
FO-0370,Bread,Food,385,191.63,73777.55,Warehouse-3,93
EL-0371,Monitor,Electronics,486,203.05,98682.3,Warehouse-1,64
TO-0372,Ball,Toys,11,687.66,7564.26,Warehouse-2,65
FU-0373,Desk,Furniture,484,671.34,324928.56,Warehouse-5,52
TO-0374,Car,Toys,407,483.7,196865.9,Warehouse-3,80
TO-0375,Car,Toys,250,689.71,172427.5,Warehouse-2,48
TO-0376,Hammer,Tools,277,218.5,60524.5,Warehouse-5,97
TO-0377,Car,Toys,441,12.84,5662.44,Warehouse-1,39
EL-0378,Tablet,Electronics,75,291.16,21837.0,Warehouse-1,21
BO-0379,Manual,Books,239,17.25,4122.75,Warehouse-2,85
TO-0380,Wrench,Tools,456,397.41,181218.96,Warehouse-5,41
TO-0381,Saw,Tools,154,316.53,48745.62,Warehouse-3,60
EL-0382,Laptop,Electronics,313,715.97,224098.61,Warehouse-2,74
TO-0383,Car,Toys,465,51.04,23733.6,Warehouse-1,61
TO-0384,Drill,Tools,64,780.27,49937.28,Warehouse-5,61
FO-0385,Milk,Food,498,632.25,314860.5,Warehouse-1,53
EL-0386,Monitor,Electronics,404,2.31,933.24,Warehouse-1,64
TO-0387,Saw,Tools,219,502.7,110091.3,Warehouse-4,62
EL-0388,Camera,Electronics,32,668.73,21399.36,Warehouse-5,35
EL-0389,Tablet,Electronics,474,178.83,84765.42,Warehouse-2,57
